start;end;shorthand;extended;majmin;majmin_inv
0.52;5.84;"F:min(*3)";"F:(b3,5,*3)";"F:min";"F:min"
5.84;10.12;"F:min";"F:(b3,5)";"F:min";"F:min"
10.12;11.6;"C:maj/F";"C:(3,5)/F";"C:maj";"C:maj/F"
11.6;13.72;"F:min";"F:(b3,5)";"F:min";"F:min"
13.72;14.92;"C:maj/F";"C:(3,5)/F";"C:maj";"C:maj/F"
14.92;17.68;"F:min";"F:(b3,5)";"F:min";"F:min"
17.68;19.56;"C:7/F";"C:(3,5,b7)/F";"C:maj";"C:maj/F"
19.56;20.76;"F:min";"F:(b3,5)";"F:min";"F:min"
20.76;22.86;"C:7/F";"C:(3,5,b7)/F";"C:maj";"C:maj/F"
22.86;34.38;"F:min";"F:(b3,5)";"F:min";"F:min"
34.38;36.46;"C:maj/F";"C:(3,5)/F";"C:maj";"C:maj/F"
36.46;46.3;"F:min";"F:(b3,5)";"F:min";"F:min"
46.3;48.54;"C:maj/F";"C:(3,5)/F";"C:maj";"C:maj/F"
48.54;50.3;"F:min";"F:(b3,5)";"F:min";"F:min"
50.3;51.5;"C:maj/F";"C:(3,5)/F";"C:maj";"C:maj/F"
51.5;52.14;"F:min";"F:(b3,5)";"F:min";"F:min"
52.14;55.04;"C:maj/F";"C:(3,5)/F";"C:maj";"C:maj/F"
55.04;57.78;"F:min";"F:(b3,5)";"F:min";"F:min"
57.78;59.64;"C:maj/F";"C:(3,5)/F";"C:maj";"C:maj/F"
59.64;62.36;"F:min";"F:(b3,5)";"F:min";"F:min"
62.36;64.28;"C:maj/F";"C:(3,5)/F";"C:maj";"C:maj/F"
64.28;64.9;"F:min";"F:(b3,5)";"F:min";"F:min"
64.9;68.1;"C:maj/F";"C:(3,5)/F";"C:maj";"C:maj/F"
68.1;70.96;"F:min";"F:(b3,5)";"F:min";"F:min"
70.96;72.5;"C:maj/F";"C:(3,5)/F";"C:maj";"C:maj/F"
72.5;87.86;"F:min";"F:(b3,5)";"F:min";"F:min"
87.86;88.46;"C:7/F";"C:(3,5,b7)/F";"C:maj";"C:maj/F"
88.46;90.96;"F:min";"F:(b3,5)";"F:min";"F:min"
90.96;91.56;"C:7/F";"C:(3,5,b7)/F";"C:maj";"C:maj/F"
91.56;104.72;"F:min";"F:(b3,5)";"F:min";"F:min"
104.72;106.98;"C:maj/F";"C:(3,5)/F";"C:maj";"C:maj/F"
106.98;117.76;"F:min";"F:(b3,5)";"F:min";"F:min"
117.76;119.9;"C:maj/F";"C:(3,5)/F";"C:maj";"C:maj/F"
119.9;121.7;"F:min";"F:(b3,5)";"F:min";"F:min"
121.7;122.96;"C:maj/F";"C:(3,5)/F";"C:maj";"C:maj/F"
122.96;123.68;"F:min";"F:(b3,5)";"F:min";"F:min"
123.68;126.46;"C:maj/F";"C:(3,5)/F";"C:maj";"C:maj/F"
126.46;129.36;"F:min";"F:(b3,5)";"F:min";"F:min"
129.36;131.28;"C:maj/F";"C:(3,5)/F";"C:maj";"C:maj/F"
131.28;134.08;"F:min";"F:(b3,5)";"F:min";"F:min"
134.08;136;"C:maj/F";"C:(3,5)/F";"C:maj";"C:maj/F"
136;136.6;"F:min";"F:(b3,5)";"F:min";"F:min"
136.6;139.5;"C:maj/F";"C:(3,5)/F";"C:maj";"C:maj/F"
139.5;142.26;"F:min";"F:(b3,5)";"F:min";"F:min"
142.26;144.42;"C:maj/F";"C:(3,5)/F";"C:maj";"C:maj/F"
144.42;159.68;"F:min";"F:(b3,5)";"F:min";"F:min"
159.68;160.28;"C:7/F";"C:(3,5,b7)/F";"C:maj";"C:maj/F"
160.28;162.84;"F:min";"F:(b3,5)";"F:min";"F:min"
162.84;163.44;"C:7/F";"C:(3,5,b7)/F";"C:maj";"C:maj/F"
163.44;166.34;"F:min";"F:(b3,5)";"F:min";"F:min"
166.34;168.2;"C:7/F";"C:(3,5,b7)/F";"C:maj";"C:maj/F"
168.2;169.98;"F:min";"F:(b3,5)";"F:min";"F:min"
169.98;170.58;"C:7/F";"C:(3,5,b7)/F";"C:maj";"C:maj/F"
170.58;176.78;"F:min";"F:(b3,5)";"F:min";"F:min"
176.78;178.62;"C:7/F";"C:(3,5,b7)/F";"C:maj";"C:maj/F"
178.62;180.32;"F:min";"F:(b3,5)";"F:min";"F:min"
180.32;183.4;"C:7/F";"C:(3,5,b7)/F";"C:maj";"C:maj/F"
183.4;191.86;"F:min";"F:(b3,5)";"F:min";"F:min"
191.86;196.42;"C:maj/F";"C:(3,5)/F";"C:maj";"C:maj/F"
196.42;200.82;"F:min";"F:(b3,5)";"F:min";"F:min"
