start;end;shorthand;extended;majmin;majmin_inv
0.76;8.44;"G:min(*3)";"G:(b3,5,*3)";"G:min";"G:min"
8.44;12.56;"G:min";"G:(b3,5)";"G:min";"G:min"
12.56;16.06;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
16.06;17.54;"G:min";"G:(b3,5)";"G:min";"G:min"
17.54;19.98;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
19.98;23.42;"G:min";"G:(b3,5)";"G:min";"G:min"
23.42;25.08;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
25.08;27.18;"G:min";"G:(b3,5)";"G:min";"G:min"
27.18;28.64;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
28.64;43.4;"G:min";"G:(b3,5)";"G:min";"G:min"
43.4;46.4;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
46.4;58.84;"G:min";"G:(b3,5)";"G:min";"G:min"
58.84;62.26;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
62.26;64.54;"G:min";"G:(b3,5)";"G:min";"G:min"
64.54;65.9;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
65.9;66.54;"G:min";"G:(b3,5)";"G:min";"G:min"
66.54;70.12;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
70.12;73.66;"G:min";"G:(b3,5)";"G:min";"G:min"
73.66;74.42;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
74.42;80.8;"G:min";"G:(b3,5)";"G:min";"G:min"
80.8;81.4;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
81.4;82;"G:min";"G:(b3,5)";"G:min";"G:min"
82;85.48;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
85.48;89.5;"G:min";"G:(b3,5)";"G:min";"G:min"
89.5;90.36;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
90.36;110.74;"G:min";"G:(b3,5)";"G:min";"G:min"
110.74;111.64;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
111.64;115;"G:min";"G:(b3,5)";"G:min";"G:min"
115;116.58;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
116.58;131.86;"G:min";"G:(b3,5)";"G:min";"G:min"
131.86;135.62;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
135.62;147.7;"G:min";"G:(b3,5)";"G:min";"G:min"
147.7;151.32;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
151.32;154.88;"G:min";"G:(b3,5)";"G:min";"G:min"
154.88;155.52;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
155.52;156.1;"G:min";"G:(b3,5)";"G:min";"G:min"
156.1;159.64;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
159.64;163.34;"G:min";"G:(b3,5)";"G:min";"G:min"
163.34;164.24;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
164.24;168.42;"G:min";"G:(b3,5)";"G:min";"G:min"
168.42;171.74;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
171.74;172.34;"G:min";"G:(b3,5)";"G:min";"G:min"
172.34;175.84;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
175.84;179.5;"G:min";"G:(b3,5)";"G:min";"G:min"
179.5;180.4;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
180.4;200.38;"G:min";"G:(b3,5)";"G:min";"G:min"
200.38;201.24;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
201.24;205.2;"G:min";"G:(b3,5)";"G:min";"G:min"
205.2;206.82;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
206.82;209.78;"G:min";"G:(b3,5)";"G:min";"G:min"
209.78;211.08;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
211.08;213.6;"G:min";"G:(b3,5)";"G:min";"G:min"
213.6;216.02;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
216.02;223.32;"G:min";"G:(b3,5)";"G:min";"G:min"
223.32;227;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
227;227.6;"G:min";"G:(b3,5)";"G:min";"G:min"
227.6;230.34;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
230.34;240.16;"G:min";"G:(b3,5)";"G:min";"G:min"
240.16;245.92;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
245.92;251.12;"G:min";"G:(b3,5)";"G:min";"G:min"
