start;end;shorthand;extended;majmin;majmin_inv
1.74;3.28;"G:min";"G:(b3,5)";"G:min";"G:min"
3.28;3.94;"D:(*3,9)";"D:(*3,9)";"D:maj";"D:maj"
3.94;5.06;"G:min";"G:(b3,5)";"G:min";"G:min"
5.06;5.38;"D:(*3,9)";"D:(*3,9)";"D:maj";"D:maj"
5.38;6.14;"D:min7";"D:(b3,5,b7)";"D:min";"D:min"
6.14;13.16;"G:min";"G:(b3,5)";"G:min";"G:min"
13.16;14.72;"D:7";"D:(3,5,b7)";"D:maj";"D:maj"
14.72;16.94;"G:min";"G:(b3,5)";"G:min";"G:min"
16.94;17.24;"A:7/C#";"A:(3,5,b7)/C#";"A:maj";"A:maj/C#"
17.24;20.74;"D:maj";"D:(3,5)";"D:maj";"D:maj"
20.74;22.58;"D:7/C";"D:(3,5,b7)/C";"D:maj";"D:maj/C"
22.58;23.6;"A#:maj";"A#:(3,5)";"A#:maj";"A#:maj"
23.6;3.94;"A:dim/A#";"A:(b3,b5)/A#";"A:min";"A:min/A#"
24.5;26.24;"A#:maj";"A#:(3,5)";"A#:maj";"A#:maj"
26.24;27.12;"G:min7";"G:(b3,5,b7)";"G:min";"G:min"
27.12;27.72;"D:min/A";"D:(b3,5)/A";"D:min";"D:min/A"
27.72;28.02;"A:7";"A:(3,5,b7)";"A:maj";"A:maj"
28.02;29.92;"D:min";"D:(b3,5)";"D:min";"D:min"
29.92;31.04;"E:dim/G";"E:(b3,b5)/G";"E:min";"E:min/G"
31.04;31.94;"F:maj/A";"F:(3,5)/A";"F:maj";"F:maj/A"
31.94;32.94;"E:dim/G";"E:(b3,b5)/G";"E:min";"E:min/G"
32.94;33.84;"F:maj/A";"F:(3,5)/A";"F:maj";"F:maj/A"
33.84;34.64;"F#:dim/A";"F#:(b3,b5)/A";"F#:min";"F#:min/A"
34.64;35.54;"G:min/A#";"G:(b3,5)/A#";"G:min";"G:min/A#"
35.54;36.74;"F#:dim/A";"F#:(b3,b5)/A";"F#:min";"F#:min/A"
