start;end;shorthand;extended;majmin;majmin_inv
0.32;1.38;"C:min";"C:(b3,5)";"C:min";"C:min"
1.38;2.64;"F:min";"F:(b3,5)";"F:min";"F:min"
2.64;2.92;"F#:dim";"F#:(b3,b5)";"F#:min";"F#:min"
2.92;3.22;"C:min/G";"C:(b3,5)/G";"C:min";"C:min/G"
3.22;3.52;"G#:maj";"G#:(3,5)";"G#:maj";"G#:maj"
3.52;5.48;"F#:dim7/A";"F#:(b3,b5,bb7)/A";"F#:min";"F#:min/A"
5.48;5.78;"G#:maj";"G#:(3,5)";"G#:maj";"G#:maj"
5.78;6.38;"G:maj";"G:(3,5)";"G:maj";"G:maj"
6.38;9.9;"C:min";"C:(b3,5)";"C:min";"C:min"
9.9;12.72;"G:maj";"G:(3,5)";"G:maj";"G:maj"
12.72;15.16;"G:(3,5,b7,b9)";"G:(3,5,b9)";"G:maj";"G:maj"
15.16;16.4;"C:min";"C:(b3,5)";"C:min";"C:min"
16.4;17.16;"E:dim7";"E:(b3,b5,bb7)";"E:min";"E:min"
17.16;17.76;"G#:maj";"G#:(3,5)";"G#:maj";"G#:maj"
17.76;18.32;"F#:dim7";"F#:(b3,b5,bb7)";"F#:min";"F#:min"
18.32;18.8;"G:maj";"G:(3,5)";"G:maj";"G:maj"
18.8;19.1;"C:min";"C:(b3,5)";"C:min";"C:min"
19.1;20.58;"D:(3,5,b7,b9)/F#";"D:(3,5,b7,b9)/F#";"D:maj";"D:maj/F#"
20.58;21.18;"G:maj";"G:(3,5)";"G:maj";"G:maj"
21.18;22.46;"C:min";"C:(b3,5)";"C:min";"C:min"
22.46;23.68;"G#:maj";"G#:(3,5)";"G#:maj";"G#:maj"
23.68;24.04;"D#:(3,5,b7,b9)";"D#:(3,5,b7,b9)";"D#:maj";"D#:maj"
24.04;25.24;"G#:maj";"G#:(3,5)";"G#:maj";"G#:maj"
25.24;25.66;"C#:maj";"C#:(3,5)";"C#:maj";"C#:maj"
25.66;26.02;"D#:7/A#";"D#:(3,5,b7)/A#";"D#:maj";"D#:maj/A#"
26.02;26.32;"F:min";"F:(b3,5)";"F:min";"F:(b3,5)"
26.32;26.62;"D#:7";"D#:(3,5,b7)";"D#:maj";"D#:maj"
26.62;28.8;"G#:maj";"G#:(3,5)";"G#:maj";"G#:maj"
28.8;29.18;"D#:(3,5,b7,b9)";"D#:(3,5,b7,b9)";"D#:maj";"D#:maj"
29.18;30.38;"G#:maj";"G#:(3,5)";"G#:maj";"G#:maj"
30.38;30.68;"G#:7/F#";"G#:(3,5,b7)/F#";"G#:maj";"G#:maj/F#"
30.68;30.98;"C#:maj/F";"C#:(3,5)/F";"C#:maj";"C#:maj/F"
30.98;31.46;"A#:hdim7/E";"A#:(b3,b5,b7)/E";"A#:min";"A#:min/E"
31.46;31.76;"D#:maj6";"D#:(3,5,6)";"D#:maj";"D#:maj"
31.76;32.96;"G#:maj";"G#:(3,5)";"G#:maj";"G#:maj"
32.96;35.54;"G:(3,5,b7,b9)/B";"G:(3,5,b7,b9)/B";"G:maj";"G:maj/B"
35.54;36.92;"C:min";"C:(b3,5)";"C:min";"C:min"
36.92;38.14;"E:dim7";"E:(b3,b5,bb7)";"E:min";"E:min"
38.14;40.38;"E:dim7/C#";"E:(b3,b5,bb7)/C#";"E:min";"E:min/C#"
40.38;40.68;"F:min/C";"F:(b3,5)/C";"F:min";"F:min/C"
40.68;43.32;"G:7/B";"G:(3,5,b7)/B";"G:maj";"G:maj/B"
43.32;44.14;"D:(3,b5,b7)/F#";"D:(3,b5,b7)/F#";"D:maj";"D:maj/F#"
44.14;44.42;"G:maj";"G:(3,5)";"G:maj";"G:maj"
44.42;44.72;"C:min";"C:(b3,5)";"C:min";"C:min"
44.72;46.94;"F#:dim7";"F#:(b3,b5,bb7)";"F#:min";"F#:min"
46.94;47.6;"G:maj";"G:(3,5)";"G:maj";"G:maj"
47.6;48.2;"C:min";"C:(b3,5)";"C:min";"C:min"
