start;end;shorthand;extended;majmin;majmin_inv
0.92;2.36;"G:min";"G:(b3,5)";"G:min";"G:min"
2.36;3.26;"D:(*3,9)";"D:(*3,9)";"D:maj";"D:maj"
3.26;4.18;"G:min";"G:(b3,5)";"G:min";"G:min"
4.18;5.1;"D:(*3,9)";"D:(*3,9)";"D:maj";"D:maj"
5.1;6.02;"D:min7";"D:(b3,5,b7)";"D:min";"D:min"
6.02;12.54;"G:min";"G:(b3,5)";"G:min";"G:min"
12.54;14.3;"D:7";"D:(3,5,b7)";"D:maj";"D:maj"
14.3;17.02;"G:min";"G:(b3,5)";"G:min";"G:min"
17.02;17.32;"A:7/C#";"A:(3,5,b7)/C#";"A:maj";"A:maj/C#"
17.32;20.56;"D:maj";"D:(3,5)";"D:maj";"D:maj"
20.56;22.46;"D:7/C";"D:(3,5,b7)/C";"D:maj";"D:maj/C"
22.46;23.5;"A#:maj";"A#:(3,5)";"A#:maj";"A#:maj"
23.5;3.26;"A:dim/A#";"A:(b3,b5)/A#";"A:min";"A:min/A#"
24.36;26.08;"A#:maj";"A#:(3,5)";"A#:maj";"A#:maj"
26.08;26.98;"G:min7";"G:(b3,5,b7)";"G:min";"G:min"
26.98;27.58;"D:min/A";"D:(b3,5)/A";"D:min";"D:min/A"
27.58;27.8;"A:7";"A:(3,5,b7)";"A:maj";"A:maj"
27.8;29.56;"D:min";"D:(b3,5)";"D:min";"D:min"
29.56;30.46;"E:dim/G";"E:(b3,b5)/G";"E:min";"E:min/G"
30.46;31.32;"F:maj/A";"F:(3,5)/A";"F:maj";"F:maj/A"
31.32;32.3;"E:dim/G";"E:(b3,b5)/G";"E:min";"E:min/G"
32.3;33.2;"F:maj/A";"F:(3,5)/A";"F:maj";"F:maj/A"
33.2;34.02;"F#:dim/A";"F#:(b3,b5)/A";"F#:min";"F#:min/A"
34.02;34.92;"G:min/A#";"G:(b3,5)/A#";"G:min";"G:min/A#"
34.92;35.82;"F#:dim/A";"F#:(b3,b5)/A";"F#:min";"F#:min/A"
35.82;36.72;"G:min/A#";"G:(b3,5)/A#";"G:min";"G:min/A#"
