start;end;shorthand;extended;majmin;majmin_inv
0.98;9.14;"G:min(*3)";"G:(b3,5,*3)";"G:min";"G:min"
9.14;12.54;"G:min";"G:(b3,5)";"G:min";"G:min"
12.54;15.7;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
15.7;16.92;"G:min";"G:(b3,5)";"G:min";"G:min"
16.92;19.48;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
19.48;22.56;"G:min";"G:(b3,5)";"G:min";"G:min"
22.56;23.24;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
23.24;25.86;"G:min";"G:(b3,5)";"G:min";"G:min"
25.86;27.28;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
27.28;38.96;"G:min";"G:(b3,5)";"G:min";"G:min"
38.96;41.56;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
41.56;51;"G:min";"G:(b3,5)";"G:min";"G:min"
51;53.96;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
53.96;55.68;"G:min";"G:(b3,5)";"G:min";"G:min"
55.68;56.88;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
56.88;57.48;"G:min";"G:(b3,5)";"G:min";"G:min"
57.48;60.34;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
60.34;63.46;"G:min";"G:(b3,5)";"G:min";"G:min"
63.46;64.06;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
64.06;68.96;"G:min";"G:(b3,5)";"G:min";"G:min"
68.96;69.78;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
69.78;70.82;"G:min";"G:(b3,5)";"G:min";"G:min"
70.82;73.18;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
73.18;76.42;"G:min";"G:(b3,5)";"G:min";"G:min"
76.42;77.44;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
77.44;92.36;"G:min";"G:(b3,5)";"G:min";"G:min"
92.36;93;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
93;96.48;"G:min";"G:(b3,5)";"G:min";"G:min"
96.48;97.9;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
97.9;109.56;"G:min";"G:(b3,5)";"G:min";"G:min"
109.56;112.58;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
112.58;122;"G:min";"G:(b3,5)";"G:min";"G:min"
122;124.84;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
124.84;127.36;"G:min";"G:(b3,5)";"G:min";"G:min"
127.36;127.96;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
127.96;128.54;"G:min";"G:(b3,5)";"G:min";"G:min"
128.54;131.44;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
131.44;134.56;"G:min";"G:(b3,5)";"G:min";"G:min"
134.56;135.16;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
135.16;140.34;"G:min";"G:(b3,5)";"G:min";"G:min"
140.34;140.94;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
140.94;141.54;"G:min";"G:(b3,5)";"G:min";"G:min"
141.54;144.3;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
144.3;147.62;"G:min";"G:(b3,5)";"G:min";"G:min"
147.62;149.1;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
149.1;164.44;"G:min";"G:(b3,5)";"G:min";"G:min"
164.44;167.12;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
167.12;168.32;"G:min";"G:(b3,5)";"G:min";"G:min"
168.32;169.74;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
169.74;172.08;"G:min";"G:(b3,5)";"G:min";"G:min"
172.08;173.42;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
173.42;175.68;"G:min";"G:(b3,5)";"G:min";"G:min"
175.68;176.96;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
176.96;182.72;"G:min";"G:(b3,5)";"G:min";"G:min"
182.72;185.54;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
185.54;186.46;"G:min";"G:(b3,5)";"G:min";"G:min"
186.46;189.06;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
189.06;199.16;"G:min";"G:(b3,5)";"G:min";"G:min"
199.16;204.42;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
204.42;207.8;"G:min";"G:(b3,5)";"G:min";"G:min"
