start;end;shorthand;extended;majmin;majmin_inv
1.1;2.42;"G:min";"G:(b3,5)";"G:min";"G:min"
2.42;3.1;"D:(*3,9)";"D:(*3,9)";"D:maj";"D:maj"
3.1;4.32;"G:min";"G:(b3,5)";"G:min";"G:min"
4.32;4.62;"D:(*3,9)";"D:(*3,9)";"D:maj";"D:maj"
4.62;5.3;"D:min7";"D:(b3,5,b7)";"D:min";"D:min"
5.3;11.38;"G:min";"G:(b3,5)";"G:min";"G:min"
11.38;13.02;"D:7";"D:(3,5,b7)";"D:maj";"D:maj"
13.02;15.32;"G:min";"G:(b3,5)";"G:min";"G:min"
15.32;15.78;"A:7/C#";"A:(3,5,b7)/C#";"A:maj";"A:maj/C#"
15.78;18.4;"D:maj";"D:(3,5)";"D:maj";"D:maj"
18.4;20.26;"D:7/C";"D:(3,5,b7)/C";"D:maj";"D:maj/C"
20.26;21.16;"A#:maj";"A#:(3,5)";"A#:maj";"A#:maj"
21.16;3.1;"A:dim/A#";"A:(b3,b5)/A#";"A:min";"A:min/A#"
22;23.8;"A#:maj";"A#:(3,5)";"A#:maj";"A#:maj"
23.8;24.54;"G:min7";"G:(b3,5,b7)";"G:min";"G:min"
24.54;25.14;"D:min/A";"D:(b3,5)/A";"D:min";"D:min/A"
25.14;25.44;"A:7";"A:(3,5,b7)";"A:maj";"A:maj"
25.44;27.12;"D:min";"D:(b3,5)";"D:min";"D:min"
27.12;27.96;"E:dim/G";"E:(b3,b5)/G";"E:min";"E:min/G"
27.96;28.86;"F:maj/A";"F:(3,5)/A";"F:maj";"F:maj/A"
28.86;30.04;"E:dim/G";"E:(b3,b5)/G";"E:min";"E:min/G"
30.04;30.72;"F:maj/A";"F:(3,5)/A";"F:maj";"F:maj/A"
30.72;31.56;"F#:dim/A";"F#:(b3,b5)/A";"F#:min";"F#:min/A"
31.56;32.38;"G:min/A#";"G:(b3,5)/A#";"G:min";"G:min/A#"
32.38;33.52;"F#:dim/A";"F#:(b3,b5)/A";"F#:min";"F#:min/A"
33.52;34.18;"G:min/A#";"G:(b3,5)/A#";"G:min";"G:min/A#"
34.18;35.04;"G:(3,5,b7,b9)/B";"G:(3,5,b7,b9)/B";"G:maj";"G:maj/B"
35.04;35.94;"C:min";"C:(b3,5)";"C:min";"C:min"
35.94;36.78;"C:(3,5,b7,b9)/E";"C:(3,5,b7,b9)/E";"C:maj";"C:maj/E"
36.78;37.7;"F:min";"F:(b3,5)";"F:min";"F:min"
37.7;40.04;"C:min/G";"C:(b3,5)/G";"C:min";"C:min/G"
