start;end;shorthand;extended;majmin;majmin_inv
1.38;3.8;"G:maj";"G:(3,5)";"G:maj";"G:maj"
3.8;5.5;"E:min";"E:(b3,5)";"E:min";"E:min"
5.5;5.8;"B:7";"B:(3,5,b7)";"B:maj";"B:maj"
5.8;6.7;"A:min/C";"A:(b3,5)/C";"A:min";"A:min/C"
6.7;7.64;"D:7";"D:(3,5,b7)";"D:maj";"D:maj"
7.64;9.78;"G:maj";"G:(3,5)";"G:maj";"G:maj"
9.78;11.86;"G:maj";"G:(3,5)";"G:maj";"G:maj"
11.86;14;"E:min";"E:(b3,5)";"E:min";"E:min"
14;14.9;"A:min/C";"A:(b3,5)/C";"A:min";"A:min/C"
14.9;16.04;"D:7";"D:(3,5,b7)";"D:maj";"D:maj"
16.04;18.22;"G:maj";"G:(3,5)";"G:maj";"G:maj"
18.22;20.28;"C:maj/G";"C:(3,5)/G";"C:maj";"C:maj/G"
20.28;22.4;"G:maj";"G:(3,5)";"G:maj";"G:maj"
22.4;23.34;"A:min/C";"A:(b3,5)/C";"A:min";"A:min/C"
23.34;24.3;"D:7";"D:(3,5,b7)";"D:maj";"D:maj"
24.3;26.66;"G:maj";"G:(3,5)";"G:maj";"G:maj"
26.66;27.56;"A:min/C";"A:(b3,5)/C";"A:min";"A:min/C"
27.56;28.8;"D:7";"D:(3,5,b7)";"D:maj";"D:maj"
28.8;32.44;"G:maj";"G:(3,5)";"G:maj";"G:maj"
32.44;33.16;"D:min/F";"D:(b3,5)/F";"D:min";"D:min/F"
33.16;33.6;"E:hdim7";"E:(b3,b5,b7)";"E:min";"E:min"
33.6;34.02;"D:min/F";"D:(b3,5)/F";"D:min";"D:min/F"
34.02;34.32;"E:(3,b5,b7)";"E:(3,b5,b7)";"E:maj";"E:maj"
34.32;35.02;"D:min/F";"D:(b3,5)/F";"D:min";"D:min/F"
35.02;35.46;"D:min/F";"D:(b3,5)/F";"D:min";"D:min/F"
35.46;36.36;"G:7";"G:(3,5,b7)";"G:maj";"G:maj"
36.36;36.96;"C:min";"C:(b3,5)";"C:min";"C:min"
36.96;37.26;"D:(3,b5,b7)";"D:(3,b5,b7)";"D:maj";"D:maj"
37.26;37.76;"C:min/D#";"C:(b3,5)/D#";"C:min";"C:min/D#"
37.76;38.34;"F:min/G#";"F:(b3,5)/G#";"F:min";"F:min/G#"
38.34;39.06;"G:hdim7";"G:(b3,b5,b7)";"G:min";"G:min"
39.06;39.42;"F:min/G#";"F:(b3,5)/G#";"F:min";"F:min/G#"
39.42;39.72;"G:(3,b5,b7)";"G:(3,b5,b7)";"G:min";"G:min/G#"
39.72;40.26;"F:min/G#";"F:(b3,5)/G#";"F:min";"F:min/G#"
40.26;40.38;"C:min/D#";"C:(b3,5)/D#";"C:min";"C:min/D#"
40.38;40.98;"G:min/D";"G:(b3,5)/D";"G:min";"G:min/D"
40.98;41.78;"D:7";"D:(3,5,b7)";"D:maj";"D:maj"
41.78;42.24;"G:min";"G:(b3,5)";"G:min";"G:min"
42.24;42.54;"A:(3,b5,b7)/G";"A:(3,b5,b7)/G";"A:maj";"A:maj/G"
42.54;43.32;"G:min";"G:(b3,5)";"G:min";"G:min"
43.32;44.76;"G#:maj/C";"G#:(3,5)/C";"G#:maj";"G#:maj/C"
44.76;45.26;"G:min";"G:(b3,5)";"G:min";"G:min"
45.26;45.56;"A:(3,b5,b7)/G";"A:(3,b5,b7)/G";"A:maj";"A:maj/G"
45.56;46.18;"G:min";"G:(b3,5)";"G:min";"G:min"
46.18;47.74;"D:7";"D:(3,5,b7)";"D:maj";"D:maj"
47.74;51.8;"G:min";"G:(b3,5)";"G:min";"G:min"
51.8;55.58;"G:maj";"G:(3,5)";"G:maj";"G:maj"
55.58;58.3;"G:7/F";"G:(3,5,b7)/F";"G:maj";"G:maj/F"
58.3;59.72;"C:maj/E";"C:(3,5)/E";"C:maj";"C:maj/E"
59.72;61.46;"G:maj/D";"G:(3,5)/D";"G:maj";"G:maj/D"
61.46;63.46;"G:7/F";"G:(3,5,b7)/F";"G:maj";"G:maj/F"
63.46;63.86;"C:maj/E";"C:(3,5)/E";"C:maj";"C:maj/E"
63.86;64.66;"G:maj/D";"G:(3,5)/D";"G:maj";"G:maj/D"
64.66;66.82;"A:min7/C";"A:(b3,5,b7)/C";"A:min";"A:min/C"
66.82;67.76;"D:7";"D:(3,5,b7)";"D:maj";"D:maj"
67.76;71.06;"G:maj";"G:(3,5)";"G:maj";"G:maj"
71.06;74.22;"D:7/C";"D:(3,5,b7)/C";"D:maj";"D:maj/C"
74.22;77.5;"G:maj/B";"G:(3,5)/B";"G:maj";"G:maj/B"
77.5;80.98;"D:7/C";"D:(3,5,b7)/C";"D:maj";"D:maj/C"
80.98;84.78;"G:maj/B";"G:(3,5)/B";"G:maj";"G:maj/B"
84.78;88.48;"C:min";"C:(b3,5)";"C:min";"C:min"
88.48;92.04;"G:min/A#";"G:(b3,5)/A#";"G:min";"G:min/A#"
92.04;96.2;"C:min";"C:(b3,5)";"C:min";"C:min"
96.2;100.38;"G:min/A#";"G:(b3,5)/A#";"G:min";"G:min/A#"
100.38;104.26;"A:hdim7/D#";"A:(b3,b5,b7)/D#";"A:min";"A:min/D#"
104.26;105.2;"D:7";"D:(3,5,b7)";"D:maj";"D:maj"
105.2;113.76;"G:min";"G:(b3,5)";"G:min";"G:min"
113.76;117.82;"G:maj";"G:(3,5)";"G:maj";"G:maj"
117.82;119.86;"B:7";"B:(3,5,b7)";"B:maj";"B:maj"
119.86;120.44;"A:min/C";"A:(b3,5)/C";"A:min";"A:min/C"
120.44;121.74;"D:7";"D:(3,5,b7)";"D:maj";"D:maj"
121.74;123.9;"G:maj";"G:(3,5)";"G:maj";"G:maj"
123.9;126.08;"G:maj";"G:(3,5)";"G:maj";"G:maj"
126.08;128.12;"E:min";"E:(b3,5)";"E:min";"E:min"
128.12;129.04;"A:min/C";"A:(b3,5)/C";"A:min";"A:min/C"
129.04;130.16;"D:7";"D:(3,5,b7)";"D:maj";"D:maj"
130.16;132.3;"G:maj";"G:(3,5)";"G:maj";"G:maj"
